LISTA DE PAÍSES, ESTADOS E CIDADES POR CONTINENTE;;;;
;;;;
ID Localização;Tipo Localização;Cidade;Estado;País
Continente:;Asia;;;
269;Country/Region;NULL;NULL;Armenia
270;Country/Region;NULL;NULL;Australia
271;Country/Region;NULL;NULL;Bhutan
272;Country/Region;NULL;NULL;China
273;Country/Region;NULL;NULL;India
274;Country/Region;NULL;NULL;Iran
275;Country/Region;NULL;NULL;Japan
276;Country/Region;NULL;NULL;Kyrgyzstan
277;Country/Region;NULL;NULL;Pakistan
278;Country/Region;NULL;NULL;Singapore
279;Country/Region;NULL;NULL;South Korea
280;Country/Region;NULL;NULL;Syria
281;Country/Region;NULL;NULL;Taiwan
282;Country/Region;NULL;NULL;Thailand
283;Country/Region;NULL;NULL;Turkmenistan
303;State/Province;NULL;Ahal Province;Turkmenistan
304;State/Province;NULL;Armenia;Armenia
305;State/Province;NULL;Beijing;China
306;State/Province;NULL;Chubu;Japan
307;State/Province;NULL;Chuy Province;Kyrgyzstan
308;State/Province;NULL;Damascus;Syria
309;State/Province;NULL;GuangDong;China
310;State/Province;NULL;Hokkaido;Japan
311;State/Province;NULL;Hong Kong;China
312;State/Province;NULL;Islamabad Capital Territory;Pakistan
313;State/Province;NULL;Kansai;Japan
314;State/Province;NULL;Kanto;Japan
315;State/Province;NULL;Krung Thep;Thailand
316;State/Province;NULL;Maharashtra;India
317;State/Province;NULL;Molonglo;Australia
318;State/Province;NULL;National Capital Territory of Delhi;India
319;State/Province;NULL;New South Wales;Australia
320;State/Province;NULL;Seoul-jikhalsi;South Korea
321;State/Province;NULL;Shanghai;China
322;State/Province;NULL;Singapore;Singapore
323;State/Province;NULL;Taiwan;Taiwan
324;State/Province;NULL;Tehran;Iran
325;State/Province;NULL;Thimphu District;Bhutan
326;State/Province;NULL;Tohoku;Japan
327;State/Province;NULL;West Bengal;India
328;State/Province;NULL;Xinjiang;China
329;State/Province;NULL;Yeongnam;South Korea
384;State/Province;NULL;Tasmania;Australia
407;State/Province;NULL;Queensland;Australia
412;State/Province;NULL;South Australia;Australia
420;State/Province;NULL;Victoria;Australia
425;City;Bendigo;Victoria;Australia
468;City;Coffs Harbour;New South Wales;Australia
471;City;Cranbourne;Victoria;Australia
473;City;Darlinghurst;New South Wales;Australia
478;City;East Brisbane;Queensland;Australia
487;City;Gold Coast;Queensland;Australia
492;City;Hervey Bay;Queensland;Australia
493;City;Hobart;Tasmania;Australia
509;City;Matraville;New South Wales;Australia
510;City;Melton;Victoria;Australia
512;City;Milsons Point;New South Wales;Australia
518;City;Newcastle;New South Wales;Australia
519;City;North Ryde;New South Wales;Australia
531;City;Perth;South Australia;Australia
534;City;Port Macquarie;New South Wales;Australia
549;City;Silverwater;New South Wales;Australia
553;City;Springwood;New South Wales;Australia
554;City;St. Leonards;New South Wales;Australia
558;City;Sydney;New South Wales;Australia
561;City;Townsville;Queensland;Australia
568;City;Warrnambool;Victoria;Australia
596;City;Brisbane;Queensland;Australia
599;City;Caloundra;Queensland;Australia
613;City;Cloverdale;South Australia;Australia
628;City;Findon;South Australia;Australia
632;City;Geelong;Victoria;Australia
634;City;Goulburn;New South Wales;Australia
637;City;Hawthorne;Queensland;Australia
646;City;Lane Cove;New South Wales;Australia
648;City;Lavender Bay;New South Wales;Australia
655;City;Malabar;New South Wales;Australia
656;City;Melbourne;Victoria;Australia
669;City;North Sydney;New South Wales;Australia
679;City;Rhodes;New South Wales;Australia
680;City;Rockhampton;Queensland;Australia
